match_id,season,round,home_team,away_team,home_win_rate_last_5,away_win_rate_last_5,home_avg_score_last_5,away_avg_score_last_5,home_avg_margin_last_5,away_avg_margin_last_5,home_win_rate_last_3,away_win_rate_last_3,home_avg_score_last_3,away_avg_score_last_3,home_avg_margin_last_3,away_avg_margin_last_3,win_rate_diff,avg_margin_diff,head_to_head_win_rate,venue_home_win_rate,days_since_last_game_home,days_since_last_game_away,home_ladder_position,away_ladder_position,margin,home_win
8930,2010,9,Carlton,Hawthorn,0.8,0.2,111.2,75.0,23.6,-24.8,0.6666666666666666,0.3333333333333333,116.33333333333333,82.0,11.333333333333334,-16.0,0.6000000000000001,48.400000000000006,,,6.0,7.0,4.0,14.0,-50.0,0
8931,2010,9,West Coast,St Kilda,0.6,0.4,82.8,70.0,-6.0,-13.0,0.6666666666666666,0.3333333333333333,83.33333333333333,66.0,-0.3333333333333333,-23.333333333333332,0.19999999999999996,7.0,,0.5,8.0,6.0,12.0,8.0,-35.0,0
8932,2010,10,Essendon,Western Bulldogs,0.6,0.8,98.0,93.0,4.4,31.6,0.6666666666666666,1.0,109.66666666666667,99.33333333333333,14.666666666666666,37.333333333333336,-0.20000000000000007,-27.200000000000003,,0.0,5.0,6.0,11.0,5.0,9.0,1
8933,2010,10,Geelong,Melbourne,0.8,0.4,119.2,80.8,51.2,-1.6,1.0,0.3333333333333333,122.33333333333333,74.33333333333333,61.333333333333336,-10.666666666666666,0.4,52.800000000000004,,1.0,7.0,6.0,1.0,9.0,54.0,1
8934,2010,10,Port Adelaide,Richmond,0.6,0.0,92.4,72.2,1.8,-47.0,0.3333333333333333,0.0,103.66666666666667,78.33333333333333,-8.0,-29.333333333333332,0.6,48.8,,0.5,6.0,6.0,7.0,10.0,-47.0,0
8936,2010,10,Brisbane Lions,Collingwood,0.0,0.8,79.0,123.0,-35.2,36.8,0.0,0.6666666666666666,85.0,113.33333333333333,-35.333333333333336,22.0,-0.8,-72.0,,0.6,6.0,7.0,10.0,3.0,8.0,1
8935,2010,10,St Kilda,Adelaide,0.4,0.4,66.6,83.6,-9.0,-3.8,0.3333333333333333,0.6666666666666666,80.0,90.66666666666667,-12.666666666666666,17.666666666666668,0.0,-5.2,,0.6,6.0,6.0,4.0,15.0,47.0,1
8937,2010,10,Hawthorn,Sydney,0.4,0.4,85.2,81.4,-2.0,-14.0,0.6666666666666666,0.0,97.66666666666667,61.666666666666664,15.0,-47.333333333333336,0.0,12.0,,0.0,6.0,7.0,13.0,8.0,2.0,1
8938,2010,10,Carlton,West Coast,0.6,0.4,102.6,73.8,4.0,-17.6,0.6666666666666666,0.6666666666666666,102.33333333333333,77.66666666666667,12.333333333333334,0.6666666666666666,0.19999999999999996,21.6,,0.0,7.0,6.0,6.0,14.0,29.0,1
8939,2010,10,Fremantle,North Melbourne,0.8,0.6,106.6,83.6,18.2,-17.8,0.6666666666666666,0.3333333333333333,103.33333333333333,77.33333333333333,4.666666666666667,-42.333333333333336,0.20000000000000007,36.0,,0.75,8.0,8.0,2.0,12.0,61.0,1
8940,2010,11,Richmond,St Kilda,0.2,0.6,73.0,82.4,-29.8,2.4,0.3333333333333333,0.6666666666666666,86.0,98.33333333333333,3.0,23.333333333333332,-0.39999999999999997,-32.2,,,6.0,6.0,16.0,4.0,-38.0,0
8941,2010,11,Carlton,Melbourne,0.6,0.2,102.8,73.6,2.6,-22.4,0.6666666666666666,0.3333333333333333,94.33333333333333,74.66666666666667,1.6666666666666667,-27.333333333333332,0.39999999999999997,25.0,,0.3333333333333333,6.0,7.0,6.0,11.0,41.0,1
8942,2010,11,Adelaide,Fremantle,0.4,0.8,84.4,112.0,-3.4,22.6,0.3333333333333333,0.6666666666666666,81.33333333333333,112.0,-14.666666666666666,20.666666666666668,-0.4,-26.0,0.0,0.4,6.0,6.0,15.0,2.0,23.0,1
8944,2010,11,West Coast,Geelong,0.4,1.0,76.4,129.8,-13.0,69.2,0.3333333333333333,1.0,69.0,120.66666666666667,-11.666666666666666,57.0,-0.6,-82.2,,0.4,6.0,7.0,14.0,1.0,-24.0,0
8943,2010,11,North Melbourne,Brisbane Lions,0.4,0.2,82.8,86.0,-32.4,-23.6,0.3333333333333333,0.3333333333333333,73.0,81.0,-40.666666666666664,-28.333333333333332,0.2,-8.799999999999997,,0.6,6.0,7.0,13.0,8.0,1.0,1
8945,2010,11,Sydney,Essendon,0.2,0.8,73.8,106.8,-24.8,19.2,0.0,1.0,67.66666666666667,107.33333333333333,-25.666666666666668,18.666666666666668,-0.6000000000000001,-44.0,,0.75,7.0,8.0,10.0,7.0,9.0,1
8946,2010,11,Hawthorn,Port Adelaide,0.6,0.4,87.0,87.6,0.8,-9.6,1.0,0.0,92.66666666666667,77.33333333333333,18.333333333333332,-24.666666666666668,0.19999999999999996,10.4,,0.5,7.0,7.0,12.0,9.0,11.0,1
8947,2010,11,Collingwood,Western Bulldogs,0.6,0.6,115.0,86.8,22.2,20.0,0.3333333333333333,0.6666666666666666,87.66666666666667,106.0,-2.6666666666666665,33.0,0.0,2.1999999999999993,1.0,,7.0,8.0,3.0,5.0,10.0,1
8948,2010,12,North Melbourne,Carlton,0.4,0.8,80.0,102.6,-37.4,21.4,0.3333333333333333,0.6666666666666666,75.0,88.66666666666667,-43.333333333333336,6.666666666666667,-0.4,-58.8,,0.6666666666666666,6.0,6.0,12.0,5.0,29.0,1
8949,2010,12,Hawthorn,Adelaide,0.8,0.6,89.2,90.6,11.6,5.8,1.0,0.6666666666666666,87.66666666666667,91.33333333333333,21.0,-4.0,0.20000000000000007,5.8,,0.0,6.0,6.0,10.0,14.0,47.0,1
8950,2010,12,Essendon,Geelong,0.6,1.0,101.6,122.0,8.8,52.4,0.6666666666666666,1.0,103.0,109.66666666666667,11.666666666666666,38.0,-0.4,-43.599999999999994,0.0,0.3333333333333333,6.0,7.0,8.0,1.0,-71.0,0
8951,2010,12,Port Adelaide,Sydney,0.2,0.2,80.8,70.2,-16.4,-27.0,0.0,0.3333333333333333,67.66666666666667,76.33333333333333,-19.666666666666668,-10.0,0.0,10.600000000000001,,0.4,6.0,6.0,9.0,6.0,-38.0,0
